batch_id,batch_template,source_row_id,scenario,scenario_family,materialized_payout_ref,intent_amount,expected_settlement_amount,expected_unmatched_amount,expected_under_settlement_amount,expected_reversal_amount,expected_total_leakage_amount,has_settlement,settlement_delay_days
LEAK_BATCH_018,reference_stress,161,clean,clean,LEAK_BATCH_018_PAY_0001,3918.12,3918.12,0.00,0.00,0.00,0.00,true,0
LEAK_BATCH_018,reference_stress,963,clean,clean,LEAK_BATCH_018_PAY_0002,3392.94,3392.94,0.00,0.00,0.00,0.00,true,0
LEAK_BATCH_018,reference_stress,1898,clean,clean,LEAK_BATCH_018_PAY_0003,4618.10,4618.10,0.00,0.00,0.00,0.00,true,0
LEAK_BATCH_018,reference_stress,343,clean,clean,LEAK_BATCH_018_PAY_0004,2961.16,2961.16,0.00,0.00,0.00,0.00,true,0
LEAK_BATCH_018,reference_stress,1192,clean,clean,LEAK_BATCH_018_PAY_0005,1735.62,1735.62,0.00,0.00,0.00,0.00,true,0
LEAK_BATCH_018,reference_stress,1668,clean,clean,LEAK_BATCH_018_PAY_0006,3060.51,3060.51,0.00,0.00,0.00,0.00,true,0
LEAK_BATCH_018,reference_stress,36,clean,clean,LEAK_BATCH_018_PAY_0007,3483.58,3483.58,0.00,0.00,0.00,0.00,true,0
LEAK_BATCH_018,reference_stress,605,clean,clean,LEAK_BATCH_018_PAY_0008,388.66,388.66,0.00,0.00,0.00,0.00,true,0
LEAK_BATCH_018,reference_stress,1196,clean,clean,LEAK_BATCH_018_PAY_0009,2171.87,2171.87,0.00,0.00,0.00,0.00,true,0
LEAK_BATCH_018,reference_stress,1389,clean,clean,LEAK_BATCH_018_PAY_0010,3525.85,3525.85,0.00,0.00,0.00,0.00,true,0
LEAK_BATCH_018,reference_stress,759,clean,clean,LEAK_BATCH_018_PAY_0011,4918.04,4918.04,0.00,0.00,0.00,0.00,true,0
LEAK_BATCH_018,reference_stress,402,clean,clean,LEAK_BATCH_018_PAY_0012,1315.00,1315.00,0.00,0.00,0.00,0.00,true,0
LEAK_BATCH_018,reference_stress,194,clean,clean,LEAK_BATCH_018_PAY_0013,2828.69,2828.69,0.00,0.00,0.00,0.00,true,0
LEAK_BATCH_018,reference_stress,409,clean,clean,LEAK_BATCH_018_PAY_0014,803.57,803.57,0.00,0.00,0.00,0.00,true,0
LEAK_BATCH_018,reference_stress,1575,clean,clean,LEAK_BATCH_018_PAY_0015,1606.48,1606.48,0.00,0.00,0.00,0.00,true,0
LEAK_BATCH_018,reference_stress,1995,clean,clean,LEAK_BATCH_018_PAY_0016,2276.72,2276.72,0.00,0.00,0.00,0.00,true,0
LEAK_BATCH_018,reference_stress,1301,clean,clean,LEAK_BATCH_018_PAY_0017,3100.16,3100.16,0.00,0.00,0.00,0.00,true,0
LEAK_BATCH_018,reference_stress,1349,clean,clean,LEAK_BATCH_018_PAY_0018,1786.41,1786.41,0.00,0.00,0.00,0.00,true,0
LEAK_BATCH_018,reference_stress,1806,clean,clean,LEAK_BATCH_018_PAY_0019,447.69,447.69,0.00,0.00,0.00,0.00,true,0
LEAK_BATCH_018,reference_stress,531,clean,clean,LEAK_BATCH_018_PAY_0020,3004.19,3004.19,0.00,0.00,0.00,0.00,true,0
LEAK_BATCH_018,reference_stress,1778,clean,clean,LEAK_BATCH_018_PAY_0021,2801.12,2801.12,0.00,0.00,0.00,0.00,true,0
LEAK_BATCH_018,reference_stress,99,clean,clean,LEAK_BATCH_018_PAY_0022,725.28,725.28,0.00,0.00,0.00,0.00,true,0
LEAK_BATCH_018,reference_stress,649,clean,clean,LEAK_BATCH_018_PAY_0023,3627.13,3627.13,0.00,0.00,0.00,0.00,true,0
LEAK_BATCH_018,reference_stress,22,clean,clean,LEAK_BATCH_018_PAY_0024,3232.77,3232.77,0.00,0.00,0.00,0.00,true,0
LEAK_BATCH_018,reference_stress,981,clean,clean,LEAK_BATCH_018_PAY_0025,832.48,832.48,0.00,0.00,0.00,0.00,true,0
LEAK_BATCH_018,reference_stress,899,clean,clean,LEAK_BATCH_018_PAY_0026,2411.48,2411.48,0.00,0.00,0.00,0.00,true,0
LEAK_BATCH_018,reference_stress,1820,clean,clean,LEAK_BATCH_018_PAY_0027,1060.12,1060.12,0.00,0.00,0.00,0.00,true,0
LEAK_BATCH_018,reference_stress,1345,clean,clean,LEAK_BATCH_018_PAY_0028,3654.95,3654.95,0.00,0.00,0.00,0.00,true,0
LEAK_BATCH_018,reference_stress,1018,clean,clean,LEAK_BATCH_018_PAY_0029,2377.96,2377.96,0.00,0.00,0.00,0.00,true,0
LEAK_BATCH_018,reference_stress,1955,clean,clean,LEAK_BATCH_018_PAY_0030,4951.05,4951.05,0.00,0.00,0.00,0.00,true,0
LEAK_BATCH_018,reference_stress,1414,clean,clean,LEAK_BATCH_018_PAY_0031,1180.48,1180.48,0.00,0.00,0.00,0.00,true,0
LEAK_BATCH_018,reference_stress,1308,clean,clean,LEAK_BATCH_018_PAY_0032,3412.05,3412.05,0.00,0.00,0.00,0.00,true,0
LEAK_BATCH_018,reference_stress,1918,clean,clean,LEAK_BATCH_018_PAY_0033,3518.56,3518.56,0.00,0.00,0.00,0.00,true,0
LEAK_BATCH_018,reference_stress,1531,clean,clean,LEAK_BATCH_018_PAY_0034,3525.64,3525.64,0.00,0.00,0.00,0.00,true,0
LEAK_BATCH_018,reference_stress,551,clean,clean,LEAK_BATCH_018_PAY_0035,1243.73,1243.73,0.00,0.00,0.00,0.00,true,0
LEAK_BATCH_018,reference_stress,614,clean,clean,LEAK_BATCH_018_PAY_0036,3616.88,3616.88,0.00,0.00,0.00,0.00,true,0
LEAK_BATCH_018,reference_stress,1155,clean,clean,LEAK_BATCH_018_PAY_0037,1683.84,1683.84,0.00,0.00,0.00,0.00,true,0
LEAK_BATCH_018,reference_stress,362,clean,clean,LEAK_BATCH_018_PAY_0038,4171.92,4171.92,0.00,0.00,0.00,0.00,true,0
LEAK_BATCH_018,reference_stress,1421,clean,clean,LEAK_BATCH_018_PAY_0039,880.08,880.08,0.00,0.00,0.00,0.00,true,0
LEAK_BATCH_018,reference_stress,642,clean,clean,LEAK_BATCH_018_PAY_0040,674.54,674.54,0.00,0.00,0.00,0.00,true,0
LEAK_BATCH_018,reference_stress,294,clean,clean,LEAK_BATCH_018_PAY_0041,3226.95,3226.95,0.00,0.00,0.00,0.00,true,0
LEAK_BATCH_018,reference_stress,1250,clean,clean,LEAK_BATCH_018_PAY_0042,1448.54,1448.54,0.00,0.00,0.00,0.00,true,0
LEAK_BATCH_018,reference_stress,700,clean,clean,LEAK_BATCH_018_PAY_0043,2248.12,2248.12,0.00,0.00,0.00,0.00,true,0
LEAK_BATCH_018,reference_stress,239,clean,clean,LEAK_BATCH_018_PAY_0044,2416.41,2416.41,0.00,0.00,0.00,0.00,true,0
LEAK_BATCH_018,reference_stress,762,clean,clean,LEAK_BATCH_018_PAY_0045,3225.04,3225.04,0.00,0.00,0.00,0.00,true,0
LEAK_BATCH_018,reference_stress,640,clean,clean,LEAK_BATCH_018_PAY_0046,2045.92,2045.92,0.00,0.00,0.00,0.00,true,0
LEAK_BATCH_018,reference_stress,427,clean,clean,LEAK_BATCH_018_PAY_0047,3586.40,3586.40,0.00,0.00,0.00,0.00,true,0
LEAK_BATCH_018,reference_stress,955,clean_delay_2d,clean_delay,LEAK_BATCH_018_PAY_0048,901.22,901.22,0.00,0.00,0.00,0.00,true,2
LEAK_BATCH_018,reference_stress,211,clean_delay_2d,clean_delay,LEAK_BATCH_018_PAY_0049,3216.91,3216.91,0.00,0.00,0.00,0.00,true,2
LEAK_BATCH_018,reference_stress,1223,clean_delay_5d,clean_delay,LEAK_BATCH_018_PAY_0050,4034.82,4034.82,0.00,0.00,0.00,0.00,true,5
LEAK_BATCH_018,reference_stress,740,clean_delay_2d,clean_delay,LEAK_BATCH_018_PAY_0051,1024.63,1024.63,0.00,0.00,0.00,0.00,true,2
LEAK_BATCH_018,reference_stress,119,clean_delay_5d,clean_delay,LEAK_BATCH_018_PAY_0052,2260.28,2260.28,0.00,0.00,0.00,0.00,true,5
LEAK_BATCH_018,reference_stress,1160,clean_delay_2d,clean_delay,LEAK_BATCH_018_PAY_0053,4229.66,4229.66,0.00,0.00,0.00,0.00,true,2
LEAK_BATCH_018,reference_stress,1416,clean_delay_5d,clean_delay,LEAK_BATCH_018_PAY_0054,3007.71,3007.71,0.00,0.00,0.00,0.00,true,5
LEAK_BATCH_018,reference_stress,421,clean_delay_2d,clean_delay,LEAK_BATCH_018_PAY_0055,2482.45,2482.45,0.00,0.00,0.00,0.00,true,2
LEAK_BATCH_018,reference_stress,1574,clean_delay_2d,clean_delay,LEAK_BATCH_018_PAY_0056,2132.06,2132.06,0.00,0.00,0.00,0.00,true,2
LEAK_BATCH_018,reference_stress,1193,clean_delay_2d,clean_delay,LEAK_BATCH_018_PAY_0057,890.99,890.99,0.00,0.00,0.00,0.00,true,2
LEAK_BATCH_018,reference_stress,361,clean_delay_2d,clean_delay,LEAK_BATCH_018_PAY_0058,1753.72,1753.72,0.00,0.00,0.00,0.00,true,2
LEAK_BATCH_018,reference_stress,146,clean_delay_2d,clean_delay,LEAK_BATCH_018_PAY_0059,3503.21,3503.21,0.00,0.00,0.00,0.00,true,2
LEAK_BATCH_018,reference_stress,378,clean_delay_5d,clean_delay,LEAK_BATCH_018_PAY_0060,3369.77,3369.77,0.00,0.00,0.00,0.00,true,5
LEAK_BATCH_018,reference_stress,1330,clean_delay_2d,clean_delay,LEAK_BATCH_018_PAY_0061,1203.28,1203.28,0.00,0.00,0.00,0.00,true,2
LEAK_BATCH_018,reference_stress,524,clean_delay_2d,clean_delay,LEAK_BATCH_018_PAY_0062,476.84,476.84,0.00,0.00,0.00,0.00,true,2
LEAK_BATCH_018,reference_stress,173,clean_delay_2d,clean_delay,LEAK_BATCH_018_PAY_0063,1555.39,1555.39,0.00,0.00,0.00,0.00,true,2
LEAK_BATCH_018,reference_stress,555,clean_delay_2d,clean_delay,LEAK_BATCH_018_PAY_0064,1323.17,1323.17,0.00,0.00,0.00,0.00,true,2
LEAK_BATCH_018,reference_stress,703,clean_delay_5d,clean_delay,LEAK_BATCH_018_PAY_0065,1808.25,1808.25,0.00,0.00,0.00,0.00,true,5
LEAK_BATCH_018,reference_stress,1030,clean_delay_5d,clean_delay,LEAK_BATCH_018_PAY_0066,2104.60,2104.60,0.00,0.00,0.00,0.00,true,5
LEAK_BATCH_018,reference_stress,1016,clean_delay_5d,clean_delay,LEAK_BATCH_018_PAY_0067,3594.54,3594.54,0.00,0.00,0.00,0.00,true,5
LEAK_BATCH_018,reference_stress,1323,clean_delay_2d,clean_delay,LEAK_BATCH_018_PAY_0068,4380.22,4380.22,0.00,0.00,0.00,0.00,true,2
LEAK_BATCH_018,reference_stress,1334,clean_delay_2d,clean_delay,LEAK_BATCH_018_PAY_0069,2368.11,2368.11,0.00,0.00,0.00,0.00,true,2
LEAK_BATCH_018,reference_stress,967,clean_delay_5d,clean_delay,LEAK_BATCH_018_PAY_0070,1195.52,1195.52,0.00,0.00,0.00,0.00,true,5
LEAK_BATCH_018,reference_stress,812,clean_delay_5d,clean_delay,LEAK_BATCH_018_PAY_0071,2965.16,2965.16,0.00,0.00,0.00,0.00,true,5
LEAK_BATCH_018,reference_stress,1716,clean_delay_2d,clean_delay,LEAK_BATCH_018_PAY_0072,1534.23,1534.23,0.00,0.00,0.00,0.00,true,2
LEAK_BATCH_018,reference_stress,337,clean_delay_2d,clean_delay,LEAK_BATCH_018_PAY_0073,189.58,189.58,0.00,0.00,0.00,0.00,true,2
LEAK_BATCH_018,reference_stress,648,clean_delay_2d,clean_delay,LEAK_BATCH_018_PAY_0074,265.60,265.60,0.00,0.00,0.00,0.00,true,2
LEAK_BATCH_018,reference_stress,1428,clean_delay_2d,clean_delay,LEAK_BATCH_018_PAY_0075,2678.75,2678.75,0.00,0.00,0.00,0.00,true,2
LEAK_BATCH_018,reference_stress,553,clean_delay_2d,clean_delay,LEAK_BATCH_018_PAY_0076,1854.81,1854.81,0.00,0.00,0.00,0.00,true,2
LEAK_BATCH_018,reference_stress,612,clean_delay_5d,clean_delay,LEAK_BATCH_018_PAY_0077,2679.11,2679.11,0.00,0.00,0.00,0.00,true,5
LEAK_BATCH_018,reference_stress,1423,clean_delay_2d,clean_delay,LEAK_BATCH_018_PAY_0078,2742.60,2742.60,0.00,0.00,0.00,0.00,true,2
LEAK_BATCH_018,reference_stress,558,clean_delay_2d,clean_delay,LEAK_BATCH_018_PAY_0079,4728.43,4728.43,0.00,0.00,0.00,0.00,true,2
LEAK_BATCH_018,reference_stress,289,clean_delay_2d,clean_delay,LEAK_BATCH_018_PAY_0080,3553.12,3553.12,0.00,0.00,0.00,0.00,true,2
LEAK_BATCH_018,reference_stress,596,clean_delay_2d,clean_delay,LEAK_BATCH_018_PAY_0081,1094.06,1094.06,0.00,0.00,0.00,0.00,true,2
LEAK_BATCH_018,reference_stress,1290,clean_delay_2d,clean_delay,LEAK_BATCH_018_PAY_0082,1739.79,1739.79,0.00,0.00,0.00,0.00,true,2
LEAK_BATCH_018,reference_stress,680,clean_delay_2d,clean_delay,LEAK_BATCH_018_PAY_0083,4890.78,4890.78,0.00,0.00,0.00,0.00,true,2
LEAK_BATCH_018,reference_stress,1606,clean_delay_2d,clean_delay,LEAK_BATCH_018_PAY_0084,491.89,491.89,0.00,0.00,0.00,0.00,true,2
LEAK_BATCH_018,reference_stress,97,under_settle_15_ref_stress,under_ref_stress,LEAK_BATCH_018_PAY_0085,3143.31,2671.81,0.00,471.50,0.00,471.50,true,4
LEAK_BATCH_018,reference_stress,51,under_settle_15_ref_stress,under_ref_stress,LEAK_BATCH_018_PAY_0086,4931.91,4192.12,0.00,739.79,0.00,739.79,true,4
LEAK_BATCH_018,reference_stress,805,under_settle_15_ref_stress,under_ref_stress,LEAK_BATCH_018_PAY_0087,2698.56,2293.78,0.00,404.78,0.00,404.78,true,4
LEAK_BATCH_018,reference_stress,1825,under_settle_15_ref_stress,under_ref_stress,LEAK_BATCH_018_PAY_0088,301.44,256.22,0.00,45.22,0.00,45.22,true,4
LEAK_BATCH_018,reference_stress,1424,under_settle_15_ref_stress,under_ref_stress,LEAK_BATCH_018_PAY_0089,420.20,357.17,0.00,63.03,0.00,63.03,true,4
LEAK_BATCH_018,reference_stress,1563,under_settle_15_ref_stress,under_ref_stress,LEAK_BATCH_018_PAY_0090,4019.57,3416.63,0.00,602.94,0.00,602.94,true,4
LEAK_BATCH_018,reference_stress,234,under_settle_15_ref_stress,under_ref_stress,LEAK_BATCH_018_PAY_0091,4462.67,3793.27,0.00,669.40,0.00,669.40,true,4
LEAK_BATCH_018,reference_stress,257,under_settle_15_ref_stress,under_ref_stress,LEAK_BATCH_018_PAY_0092,4350.16,3697.64,0.00,652.52,0.00,652.52,true,4
LEAK_BATCH_018,reference_stress,1704,under_settle_15_ref_stress,under_ref_stress,LEAK_BATCH_018_PAY_0093,1317.71,1120.05,0.00,197.66,0.00,197.66,true,4
LEAK_BATCH_018,reference_stress,133,under_settle_15_ref_stress,under_ref_stress,LEAK_BATCH_018_PAY_0094,3138.04,2667.33,0.00,470.71,0.00,470.71,true,4
LEAK_BATCH_018,reference_stress,1841,under_settle_15_ref_stress,under_ref_stress,LEAK_BATCH_018_PAY_0095,2258.96,1920.12,0.00,338.84,0.00,338.84,true,4
LEAK_BATCH_018,reference_stress,1556,under_settle_15_ref_stress,under_ref_stress,LEAK_BATCH_018_PAY_0096,366.73,311.72,0.00,55.01,0.00,55.01,true,4
LEAK_BATCH_018,reference_stress,129,under_settle_15_ref_stress,under_ref_stress,LEAK_BATCH_018_PAY_0097,2361.02,2006.87,0.00,354.15,0.00,354.15,true,4
LEAK_BATCH_018,reference_stress,1822,under_settle_15_ref_stress,under_ref_stress,LEAK_BATCH_018_PAY_0098,4039.29,3433.40,0.00,605.89,0.00,605.89,true,4
LEAK_BATCH_018,reference_stress,508,under_settle_15_ref_stress,under_ref_stress,LEAK_BATCH_018_PAY_0099,1528.37,1299.11,0.00,229.26,0.00,229.26,true,4
LEAK_BATCH_018,reference_stress,497,under_settle_15_ref_stress,under_ref_stress,LEAK_BATCH_018_PAY_0100,3941.94,3350.65,0.00,591.29,0.00,591.29,true,4
LEAK_BATCH_018,reference_stress,916,under_settle_15_ref_stress,under_ref_stress,LEAK_BATCH_018_PAY_0101,4091.69,3477.94,0.00,613.75,0.00,613.75,true,4
LEAK_BATCH_018,reference_stress,750,under_settle_15_ref_stress,under_ref_stress,LEAK_BATCH_018_PAY_0102,4354.82,3701.60,0.00,653.22,0.00,653.22,true,4
LEAK_BATCH_018,reference_stress,1305,under_settle_15_ref_stress,under_ref_stress,LEAK_BATCH_018_PAY_0103,1050.92,893.28,0.00,157.64,0.00,157.64,true,4
LEAK_BATCH_018,reference_stress,505,under_settle_15_ref_stress,under_ref_stress,LEAK_BATCH_018_PAY_0104,3171.50,2695.78,0.00,475.72,0.00,475.72,true,4
LEAK_BATCH_018,reference_stress,1367,under_settle_15_ref_stress,under_ref_stress,LEAK_BATCH_018_PAY_0105,4046.49,3439.52,0.00,606.97,0.00,606.97,true,4
LEAK_BATCH_018,reference_stress,1277,under_settle_15_ref_stress,under_ref_stress,LEAK_BATCH_018_PAY_0106,250.18,212.65,0.00,37.53,0.00,37.53,true,4
LEAK_BATCH_018,reference_stress,1273,under_settle_15_ref_stress,under_ref_stress,LEAK_BATCH_018_PAY_0107,3219.92,2736.93,0.00,482.99,0.00,482.99,true,4
LEAK_BATCH_018,reference_stress,1622,under_settle_15_ref_stress,under_ref_stress,LEAK_BATCH_018_PAY_0108,4272.89,3631.96,0.00,640.93,0.00,640.93,true,4
LEAK_BATCH_018,reference_stress,1311,under_settle_15_ref_stress,under_ref_stress,LEAK_BATCH_018_PAY_0109,1339.08,1138.22,0.00,200.86,0.00,200.86,true,4
LEAK_BATCH_018,reference_stress,1653,under_settle_15_ref_stress,under_ref_stress,LEAK_BATCH_018_PAY_0110,3134.75,2664.54,0.00,470.21,0.00,470.21,true,4
LEAK_BATCH_018,reference_stress,1847,under_settle_15_ref_stress,under_ref_stress,LEAK_BATCH_018_PAY_0111,3838.64,3262.84,0.00,575.80,0.00,575.80,true,4
LEAK_BATCH_018,reference_stress,1997,under_settle_15_ref_stress,under_ref_stress,LEAK_BATCH_018_PAY_0112,2833.06,2408.10,0.00,424.96,0.00,424.96,true,4
LEAK_BATCH_018,reference_stress,255,under_settle_15_ref_stress,under_ref_stress,LEAK_BATCH_018_PAY_0113,571.64,485.89,0.00,85.75,0.00,85.75,true,4
LEAK_BATCH_018,reference_stress,506,under_settle_15_ref_stress,under_ref_stress,LEAK_BATCH_018_PAY_0114,1381.91,1174.62,0.00,207.29,0.00,207.29,true,4
LEAK_BATCH_018,reference_stress,38,under_settle_15_ref_stress,under_ref_stress,LEAK_BATCH_018_PAY_0115,901.67,766.42,0.00,135.25,0.00,135.25,true,4
LEAK_BATCH_018,reference_stress,898,under_settle_15_ref_stress,under_ref_stress,LEAK_BATCH_018_PAY_0116,4697.10,3992.54,0.00,704.56,0.00,704.56,true,4
LEAK_BATCH_018,reference_stress,1507,under_settle_15_ref_stress,under_ref_stress,LEAK_BATCH_018_PAY_0117,3449.15,2931.78,0.00,517.37,0.00,517.37,true,4
LEAK_BATCH_018,reference_stress,816,under_settle_15_ref_stress,under_ref_stress,LEAK_BATCH_018_PAY_0118,4259.16,3620.29,0.00,638.87,0.00,638.87,true,4
LEAK_BATCH_018,reference_stress,999,ref_stress_clean,ref_stress,LEAK_BATCH_018_PAY_0119,1016.97,1016.97,0.00,0.00,0.00,0.00,true,1
LEAK_BATCH_018,reference_stress,261,ref_stress_clean,ref_stress,LEAK_BATCH_018_PAY_0120,3819.66,3819.66,0.00,0.00,0.00,0.00,true,1
LEAK_BATCH_018,reference_stress,216,ref_stress_clean,ref_stress,LEAK_BATCH_018_PAY_0121,4409.55,4409.55,0.00,0.00,0.00,0.00,true,1
LEAK_BATCH_018,reference_stress,615,ref_stress_clean,ref_stress,LEAK_BATCH_018_PAY_0122,3809.15,3809.15,0.00,0.00,0.00,0.00,true,1
LEAK_BATCH_018,reference_stress,60,ref_stress_clean,ref_stress,LEAK_BATCH_018_PAY_0123,705.04,705.04,0.00,0.00,0.00,0.00,true,1
LEAK_BATCH_018,reference_stress,578,ref_stress_clean,ref_stress,LEAK_BATCH_018_PAY_0124,2698.93,2698.93,0.00,0.00,0.00,0.00,true,1
LEAK_BATCH_018,reference_stress,35,ref_stress_clean,ref_stress,LEAK_BATCH_018_PAY_0125,3649.77,3649.77,0.00,0.00,0.00,0.00,true,1
LEAK_BATCH_018,reference_stress,1312,ref_stress_clean,ref_stress,LEAK_BATCH_018_PAY_0126,1222.07,1222.07,0.00,0.00,0.00,0.00,true,1
LEAK_BATCH_018,reference_stress,462,ref_stress_clean,ref_stress,LEAK_BATCH_018_PAY_0127,2702.40,2702.40,0.00,0.00,0.00,0.00,true,1
LEAK_BATCH_018,reference_stress,675,ref_stress_clean,ref_stress,LEAK_BATCH_018_PAY_0128,3770.18,3770.18,0.00,0.00,0.00,0.00,true,1
LEAK_BATCH_018,reference_stress,1699,ref_stress_clean,ref_stress,LEAK_BATCH_018_PAY_0129,405.00,405.00,0.00,0.00,0.00,0.00,true,1
LEAK_BATCH_018,reference_stress,439,ref_stress_clean,ref_stress,LEAK_BATCH_018_PAY_0130,3708.28,3708.28,0.00,0.00,0.00,0.00,true,1
LEAK_BATCH_018,reference_stress,609,ref_stress_clean,ref_stress,LEAK_BATCH_018_PAY_0131,1129.16,1129.16,0.00,0.00,0.00,0.00,true,1
LEAK_BATCH_018,reference_stress,260,ref_stress_clean,ref_stress,LEAK_BATCH_018_PAY_0132,951.57,951.57,0.00,0.00,0.00,0.00,true,1
LEAK_BATCH_018,reference_stress,1644,ref_stress_clean,ref_stress,LEAK_BATCH_018_PAY_0133,4793.74,4793.74,0.00,0.00,0.00,0.00,true,1
LEAK_BATCH_018,reference_stress,116,ref_stress_clean,ref_stress,LEAK_BATCH_018_PAY_0134,1078.65,1078.65,0.00,0.00,0.00,0.00,true,1
LEAK_BATCH_018,reference_stress,158,ref_stress_clean,ref_stress,LEAK_BATCH_018_PAY_0135,634.83,634.83,0.00,0.00,0.00,0.00,true,1
LEAK_BATCH_018,reference_stress,749,ref_stress_clean,ref_stress,LEAK_BATCH_018_PAY_0136,2213.76,2213.76,0.00,0.00,0.00,0.00,true,1
LEAK_BATCH_018,reference_stress,826,ref_stress_clean,ref_stress,LEAK_BATCH_018_PAY_0137,1090.08,1090.08,0.00,0.00,0.00,0.00,true,1
LEAK_BATCH_018,reference_stress,330,ref_stress_clean,ref_stress,LEAK_BATCH_018_PAY_0138,1121.01,1121.01,0.00,0.00,0.00,0.00,true,1
LEAK_BATCH_018,reference_stress,414,ref_stress_clean,ref_stress,LEAK_BATCH_018_PAY_0139,2753.31,2753.31,0.00,0.00,0.00,0.00,true,1
LEAK_BATCH_018,reference_stress,1072,ref_stress_clean,ref_stress,LEAK_BATCH_018_PAY_0140,601.72,601.72,0.00,0.00,0.00,0.00,true,1
LEAK_BATCH_018,reference_stress,1853,ref_stress_clean,ref_stress,LEAK_BATCH_018_PAY_0141,744.73,744.73,0.00,0.00,0.00,0.00,true,1
LEAK_BATCH_018,reference_stress,776,ref_stress_clean,ref_stress,LEAK_BATCH_018_PAY_0142,4479.64,4479.64,0.00,0.00,0.00,0.00,true,1
LEAK_BATCH_018,reference_stress,817,ref_stress_clean,ref_stress,LEAK_BATCH_018_PAY_0143,1020.37,1020.37,0.00,0.00,0.00,0.00,true,1
LEAK_BATCH_018,reference_stress,166,ref_stress_clean,ref_stress,LEAK_BATCH_018_PAY_0144,4399.32,4399.32,0.00,0.00,0.00,0.00,true,1
LEAK_BATCH_018,reference_stress,401,ref_stress_clean,ref_stress,LEAK_BATCH_018_PAY_0145,3034.72,3034.72,0.00,0.00,0.00,0.00,true,1
LEAK_BATCH_018,reference_stress,936,under_settle_08,under,LEAK_BATCH_018_PAY_0146,1501.89,1381.74,0.00,120.15,0.00,120.15,true,1
LEAK_BATCH_018,reference_stress,392,under_settle_08,under,LEAK_BATCH_018_PAY_0147,4444.88,4089.29,0.00,355.59,0.00,355.59,true,1
LEAK_BATCH_018,reference_stress,1411,under_settle_15,under,LEAK_BATCH_018_PAY_0148,922.58,784.19,0.00,138.39,0.00,138.39,true,2
