source_row_id,scenario,scenario_family,rail,payment_method,intent_amount,expected_settlement_amount,expected_unmatched_amount,expected_under_settlement_amount,expected_reversal_amount,expected_total_leakage_amount,has_settlement,settlement_delay_days,blank_provider_ref,blank_bank_ref,blank_client_ref
1,under_settle_08,under,IMPS,BANK_TRANSFER,3704.38,3408.03,0.00,296.35,0.00,296.35,true,1,false,false,false
2,clean_delay_2d,clean_delay,IMPS,BANK_TRANSFER,3925.71,3925.71,0.00,0.00,0.00,0.00,true,2,false,false,false
3,unmatched_intent,unmatched,IMPS,BANK_TRANSFER,1083.40,0.00,1083.40,0.00,0.00,1083.40,false,0,false,false,false
4,clean_delay_2d,clean_delay,UPI,UPI,2541.26,2541.26,0.00,0.00,0.00,0.00,true,2,false,false,false
5,under_settle_08,under,UPI,UPI,1252.32,1152.13,0.00,100.19,0.00,100.19,true,1,false,false,false
6,unmatched_intent,unmatched,UPI,UPI,4917.58,0.00,4917.58,0.00,0.00,4917.58,false,0,false,false,false
7,under_settle_08,under,IMPS,BANK_TRANSFER,1753.86,1613.55,0.00,140.31,0.00,140.31,true,1,false,false,false
8,ref_stress_clean,ref_stress,IMPS,BANK_TRANSFER,1538.69,1538.69,0.00,0.00,0.00,0.00,true,1,true,true,false
9,clean,clean,UPI,UPI,3852.19,3852.19,0.00,0.00,0.00,0.00,true,0,false,false,false
10,ref_stress_clean,ref_stress,UPI,UPI,4747.03,4747.03,0.00,0.00,0.00,0.00,true,1,true,true,false
11,clean_delay_2d,clean_delay,IMPS,BANK_TRANSFER,3769.89,3769.89,0.00,0.00,0.00,0.00,true,2,false,false,false
12,ref_stress_clean,ref_stress,IMPS,BANK_TRANSFER,1411.37,1411.37,0.00,0.00,0.00,0.00,true,1,true,true,false
13,clean_delay_2d,clean_delay,UPI,UPI,2487.28,2487.28,0.00,0.00,0.00,0.00,true,2,false,false,false
14,unmatched_intent,unmatched,UPI,UPI,4176.50,0.00,4176.50,0.00,0.00,4176.50,false,0,false,false,false
15,clean,clean,IMPS,BANK_TRANSFER,2515.05,2515.05,0.00,0.00,0.00,0.00,true,0,false,false,false
16,unmatched_intent,unmatched,IMPS,BANK_TRANSFER,439.76,0.00,439.76,0.00,0.00,439.76,false,0,false,false,false
17,under_settle_30,under,UPI,UPI,3015.62,2110.93,0.00,904.69,0.00,904.69,true,3,false,false,false
18,ref_stress_clean,ref_stress,IMPS,BANK_TRANSFER,3955.48,3955.48,0.00,0.00,0.00,0.00,true,1,true,true,false
19,under_settle_08,under,UPI,UPI,2045.71,1882.05,0.00,163.66,0.00,163.66,true,1,false,false,false
20,clean,clean,UPI,UPI,3717.05,3717.05,0.00,0.00,0.00,0.00,true,0,false,false,false
21,under_settle_30,under,IMPS,BANK_TRANSFER,4077.40,2854.18,0.00,1223.22,0.00,1223.22,true,3,false,false,false
22,clean,clean,IMPS,BANK_TRANSFER,3232.77,3232.77,0.00,0.00,0.00,0.00,true,0,false,false,false
23,unmatched_intent,unmatched,UPI,UPI,3798.77,0.00,3798.77,0.00,0.00,3798.77,false,0,false,false,false
24,clean_delay_2d,clean_delay,IMPS,BANK_TRANSFER,1960.62,1960.62,0.00,0.00,0.00,0.00,true,2,false,false,false
25,clean_delay_2d,clean_delay,UPI,UPI,4984.93,4984.93,0.00,0.00,0.00,0.00,true,2,false,false,false
26,clean_delay_2d,clean_delay,UPI,UPI,4676.80,4676.80,0.00,0.00,0.00,0.00,true,2,false,false,false
27,clean_delay_2d,clean_delay,IMPS,BANK_TRANSFER,2210.14,2210.14,0.00,0.00,0.00,0.00,true,2,false,false,false
28,clean_delay_5d,clean_delay,UPI,UPI,1605.27,1605.27,0.00,0.00,0.00,0.00,true,5,false,false,false
29,under_settle_08,under,UPI,UPI,2812.34,2587.35,0.00,224.99,0.00,224.99,true,1,false,false,false
30,clean,clean,UPI,UPI,239.12,239.12,0.00,0.00,0.00,0.00,true,0,false,false,false
31,unmatched_intent,unmatched,IMPS,BANK_TRANSFER,2104.97,0.00,2104.97,0.00,0.00,2104.97,false,0,false,false,false
32,clean,clean,IMPS,BANK_TRANSFER,3941.98,3941.98,0.00,0.00,0.00,0.00,true,0,false,false,false
33,clean,clean,UPI,UPI,4984.22,4984.22,0.00,0.00,0.00,0.00,true,0,false,false,false
34,clean,clean,UPI,UPI,4205.87,4205.87,0.00,0.00,0.00,0.00,true,0,false,false,false
35,ref_stress_clean,ref_stress,IMPS,BANK_TRANSFER,3649.77,3649.77,0.00,0.00,0.00,0.00,true,1,true,true,false
36,clean,clean,UPI,UPI,3483.58,3483.58,0.00,0.00,0.00,0.00,true,0,false,false,false
37,under_settle_08,under,IMPS,BANK_TRANSFER,4376.11,4026.02,0.00,350.09,0.00,350.09,true,1,false,false,false
38,under_settle_15_ref_stress,under_ref_stress,UPI,UPI,901.67,766.42,0.00,135.25,0.00,135.25,true,4,true,false,false
