feature,importance
client_payout_ref_coverage_rate,20.58172183674519
mapping_confidence_score,12.156105068689865
canonicalization_error_rate,8.748783415888338
required_field_completeness_rate,6.111581611065909
batch_max_pair_count,6.021317398264658
provider_missing_provider_ref_rate,5.554104637144094
settlement_delay_p50_days,4.286867153462135
weekend_flag,4.010404533256504
unknown_column_count,3.8145736562199875
provider_missing_client_ref_rate,3.6745026900400184
provider_settlement_delay_p95_days,3.3184214914122157
provider_settlement_delay_p50_days,3.293157148674838
created_day_of_week,2.863118938956702
invalid_amount_rate,2.240816360322564
parse_success_rate,2.0258828085849854
batch_total_intended_amount_minor,1.9764603722694174
settlement_delay_p95_days,1.945191187748009
invalid_beneficiary_rate,1.5871957792841522
missing_required_field_rate,1.108365817969611
batch_avg_amount_minor,1.09156283873169
batch_max_amount_minor,0.9953958073893914
batch_intent_count,0.8628007882400481
batch_min_amount_minor,0.6150269409725776
batch_amount_stddev,0.5186568805626783
batch_same_beneficiary_amount_density,0.4822901957270512
rail,0.059961613255337685
created_hour,0.05573302912204309
source_system,0.0
currency,0.0
provider_key,0.0
intent_type,0.0
