row_id,synthetic_flag,parent_batch_id,batch_id,scenario_family,batch_template,generation_version,sample_weight,batch_total_intended_amount_minor,batch_intent_count,batch_avg_amount_minor,batch_max_amount_minor,batch_min_amount_minor,batch_amount_stddev,batch_same_beneficiary_amount_density,batch_max_pair_count,client_payout_ref_coverage_rate,currency,source_system,rail,created_hour,created_day_of_week,weekend_flag,intent_type,parse_success_rate,mapping_confidence_score,required_field_completeness_rate,canonicalization_error_rate,missing_required_field_rate,unknown_column_count,invalid_amount_rate,invalid_beneficiary_rate,provider_key,provider_missing_provider_ref_rate,provider_missing_client_ref_rate,provider_settlement_delay_p50_days,provider_settlement_delay_p95_days,settlement_delay_p50_days,settlement_delay_p95_days,predicted_leakage_rate,target_leakage_amount_minor
anchor::LEAK_BATCH_001,0,LEAK_BATCH_001,LEAK_BATCH_001,control_clean,control_clean,v1,3.00,498135.608000,197,2528.607147,4930.008000,148.202000,1386.317889,0.000000,1,1.000000,INR,Razorpay,UPI,8,0,0,PAYOUT,1.000000,0.780000,0.930000,0.000000,0.000000,2,0.000000,0.000000,razorpay,0.151741,0.000000,0.000000,5.000000,0.000000,5.000000,0.000000,0.000000
anchor::LEAK_BATCH_002,0,LEAK_BATCH_002,LEAK_BATCH_002,control_clean,control_clean,v1,3.00,533178.793000,205,2600.872161,4992.117000,104.376000,1350.286883,0.024782,1,1.000000,INR,Razorpay,UPI,8,1,0,PAYOUT,1.000000,0.780000,0.930000,0.000000,0.000000,2,0.000000,0.000000,razorpay,0.152284,0.000000,0.000000,5.000000,0.000000,5.000000,0.000000,0.000000
anchor::LEAK_BATCH_003,0,LEAK_BATCH_003,LEAK_BATCH_003,control_clean,control_clean,v1,3.00,505403.628000,191,2646.092293,4992.850000,105.537000,1465.153866,0.008834,1,1.000000,INR,Razorpay,UPI,8,2,0,PAYOUT,1.000000,0.780000,0.930000,0.000000,0.000000,2,0.000000,0.000000,razorpay,0.151741,0.000000,0.000000,5.000000,0.000000,5.000000,0.000000,0.000000
anchor::LEAK_BATCH_004,0,LEAK_BATCH_004,LEAK_BATCH_004,control_clean,control_clean,v1,3.00,558401.213000,229,2438.433245,4992.117000,147.951000,1432.515633,0.000000,1,1.000000,INR,Razorpay,IMPS,8,3,0,PAYOUT,1.000000,0.780000,0.930000,0.000000,0.000000,2,0.000000,0.000000,razorpay,0.150084,0.000000,0.000000,5.000000,0.000000,5.000000,0.000000,0.000000
anchor::LEAK_BATCH_005,0,LEAK_BATCH_005,LEAK_BATCH_005,unmatched_heavy,unmatched_heavy,v1,3.00,524785.988000,204,2572.480333,4995.693000,118.504000,1453.917680,0.000000,1,1.000000,INR,Razorpay,IMPS,8,4,0,PAYOUT,1.000000,0.780000,0.930000,0.000000,0.000000,2,0.000000,0.000000,razorpay,0.150852,0.000000,0.000000,5.000000,0.000000,5.000000,0.330000,173179.376040
anchor::LEAK_BATCH_006,0,LEAK_BATCH_006,LEAK_BATCH_006,unmatched_heavy,unmatched_heavy,v1,3.00,631584.377000,240,2631.601571,4992.850000,105.537000,1472.760659,0.000000,1,1.000000,INR,Razorpay,UPI,8,5,1,PAYOUT,1.000000,0.780000,0.930000,0.000000,0.000000,2,0.000000,0.000000,razorpay,0.151832,0.000000,0.000000,5.000000,0.000000,5.000000,0.330000,208422.844410
anchor::LEAK_BATCH_007,0,LEAK_BATCH_007,LEAK_BATCH_007,unmatched_heavy,unmatched_heavy,v1,3.00,591358.607000,216,2737.771329,4995.693000,105.433000,1396.282604,0.015762,1,1.000000,INR,Razorpay,IMPS,8,6,1,PAYOUT,1.000000,0.780000,0.930000,0.000000,0.000000,2,0.000000,0.000000,razorpay,0.152115,0.000000,0.000000,5.000000,0.000000,5.000000,0.370000,218802.684590
anchor::LEAK_BATCH_008,0,LEAK_BATCH_008,LEAK_BATCH_008,unmatched_heavy,unmatched_heavy,v1,3.00,497407.029000,203,2450.280931,4981.192000,105.433000,1399.350021,0.000000,1,1.000000,INR,Razorpay,IMPS,8,0,0,PAYOUT,1.000000,0.780000,0.930000,0.000000,0.000000,2,0.000000,0.000000,razorpay,0.151878,0.000000,0.000000,5.000000,0.000000,5.000000,0.350000,174092.460150
anchor::LEAK_BATCH_009,0,LEAK_BATCH_009,LEAK_BATCH_009,under_heavy,under_heavy,v1,3.00,558586.185000,205,2724.810659,4935.603000,104.070000,1389.651628,0.000000,1,1.000000,INR,Razorpay,IMPS,8,1,0,PAYOUT,1.000000,0.780000,0.930000,0.000000,0.000000,2,0.000000,0.000000,razorpay,0.152567,0.000000,0.000000,5.000000,0.000000,5.000000,0.050000,27929.309250
anchor::LEAK_BATCH_010,0,LEAK_BATCH_010,LEAK_BATCH_010,under_heavy,under_heavy,v1,3.00,603953.882000,229,2637.353197,4992.850000,106.837000,1401.307839,0.006264,1,1.000000,INR,Razorpay,IMPS,8,2,0,PAYOUT,1.000000,0.780000,0.930000,0.000000,0.000000,2,0.000000,0.000000,razorpay,0.147355,0.000000,0.000000,5.000000,0.000000,5.000000,0.050000,30197.694100
